city,category,ipc,year,month
Medellín,Alimentos Y Bebidas No Alcohólicas,1.9,2022,9
Barranquilla,Alimentos Y Bebidas No Alcohólicas,0.77,2022,9
"Bogotá, D.C.",Alimentos Y Bebidas No Alcohólicas,1.83,2022,9
Cartagena De Indias,Alimentos Y Bebidas No Alcohólicas,1.36,2022,9
Tunja,Alimentos Y Bebidas No Alcohólicas,1.84,2022,9
Manizales,Alimentos Y Bebidas No Alcohólicas,1.41,2022,9
Florencia,Alimentos Y Bebidas No Alcohólicas,1.88,2022,9
Popayán,Alimentos Y Bebidas No Alcohólicas,1.33,2022,9
Valledupar,Alimentos Y Bebidas No Alcohólicas,0.26,2022,9
Montería,Alimentos Y Bebidas No Alcohólicas,1.4,2022,9
Neiva,Alimentos Y Bebidas No Alcohólicas,1.98,2022,9
Riohacha,Alimentos Y Bebidas No Alcohólicas,1.09,2022,9
Santa Marta,Alimentos Y Bebidas No Alcohólicas,0.96,2022,9
Villavicencio,Alimentos Y Bebidas No Alcohólicas,1.23,2022,9
Pasto,Alimentos Y Bebidas No Alcohólicas,2.23,2022,9
Cúcuta,Alimentos Y Bebidas No Alcohólicas,1.83,2022,9
Armenia,Alimentos Y Bebidas No Alcohólicas,1.46,2022,9
Pereira,Alimentos Y Bebidas No Alcohólicas,0.83,2022,9
Bucaramanga,Alimentos Y Bebidas No Alcohólicas,1.7,2022,9
Sincelejo,Alimentos Y Bebidas No Alcohólicas,0.93,2022,9
Ibagué,Alimentos Y Bebidas No Alcohólicas,1.79,2022,9
Cali,Alimentos Y Bebidas No Alcohólicas,1.49,2022,9
Otras Areas Urbanas,Alimentos Y Bebidas No Alcohólicas,1.73,2022,9
Medellín,Bebidas Alcohólicas Y Tabaco,0.58,2022,9
Barranquilla,Bebidas Alcohólicas Y Tabaco,-0.11,2022,9
"Bogotá, D.C.",Bebidas Alcohólicas Y Tabaco,0.48,2022,9
Cartagena De Indias,Bebidas Alcohólicas Y Tabaco,0.14,2022,9
Tunja,Bebidas Alcohólicas Y Tabaco,0.52,2022,9
Manizales,Bebidas Alcohólicas Y Tabaco,0.38,2022,9
Florencia,Bebidas Alcohólicas Y Tabaco,1.15,2022,9
Popayán,Bebidas Alcohólicas Y Tabaco,0.52,2022,9
Valledupar,Bebidas Alcohólicas Y Tabaco,0.54,2022,9
Montería,Bebidas Alcohólicas Y Tabaco,-0.14,2022,9
Neiva,Bebidas Alcohólicas Y Tabaco,0.0,2022,9
Riohacha,Bebidas Alcohólicas Y Tabaco,0.58,2022,9
Santa Marta,Bebidas Alcohólicas Y Tabaco,0.55,2022,9
Villavicencio,Bebidas Alcohólicas Y Tabaco,0.84,2022,9
Pasto,Bebidas Alcohólicas Y Tabaco,0.81,2022,9
Cúcuta,Bebidas Alcohólicas Y Tabaco,-0.25,2022,9
Armenia,Bebidas Alcohólicas Y Tabaco,1.24,2022,9
Pereira,Bebidas Alcohólicas Y Tabaco,0.64,2022,9
Bucaramanga,Bebidas Alcohólicas Y Tabaco,0.42,2022,9
Sincelejo,Bebidas Alcohólicas Y Tabaco,0.1,2022,9
Ibagué,Bebidas Alcohólicas Y Tabaco,0.55,2022,9
Cali,Bebidas Alcohólicas Y Tabaco,0.48,2022,9
